	Boston	New York	Miami	Los Angeles	Aspen	Anchorage	New Orleans	San Diego	San Francisco	Austin	Phoenix	Chicago	Honolulu	Atlanta	Washington D.C.	Seattle	St. Louis	Minneapolis
January	36	36	74	68	36	22	62	65	57	62	67	32	81	51	43	47	40	24
February	39	40	75	69	39	26	65	65	60	65	71	38	81	56	47	51	45	29
March	45	48	76	70	46	34	72	66	62	72	77	47	82	63	56	55	55	41
April	56	58	79	73	53	44	78	68	63	60	85	59	83	72	67	59	67	58
May	66	68	83	74	63	56	85	68	64	87	95	70	85	79	75	65	77	69
June	76	77	87	78	73	63	90	71	67	92	104	80	87	85	84	70	85	79
July	82	83	88	83	79	65	91	75	67	96	106	84	88	88	89	75	89	84
August	80	81	89	84	76	64	91	77	68	87	105	83	88	87	87	75	88	81
September	72	74	87	83	69	55	88	76	70	91	100	76	88	81	80	70	81	72
October	61	63	84	79	58	40	80	73	69	82	89	64	87	72	68	60	69	58
November	52	52	79	73	44	27	72	69	63	72	76	49	84	62	58	52	56	41
December	41	42	76	68	35	24	64	65	57	63	66	37	82	53	47	47	43	27
