K562.cell	A549.cell 	A549.cytosol 	A549.nucleus 	AG04450.cell 	BJ.cell 	CD20+.cell 	GM12878.cell 	GM12878.cytosol 	GM12878.nucleus 	H1-hESC.cell 	HeLa-S3.cell 	HeLa-S3.cytosol 	HeLa-S3.nucleus 	HepG2.cell 	HepG2.cytosol 	HepG2.nucleus 	HSMM.cell 	HUVEC.cell 	HUVEC.cytosol 	HUVEC.nucleus 	IMR90.cell 	IMR90.cytosol 	IMR90.nucleus 	K562.cell 	K562.cytosol 	K562.nucleus 	MCF-7.cell 	MCF-7.cytosol 	MCF-7.nucleus 	Monocytes-CD14+.cell 	NHEK.cell 	NHEK.cytosol 	NHEK.nucleus 	NHLF.cell 	SK-N-SH_RA.cell 	SK-N-SH.cell 	SK-N-SH.cytosol 	SK-N-SH.nucleus 
ENSG00000000003.10	53.37277	26.3610605	9.603849	34.2480445	12.556528	0.0529485	0.041924	0.015253	0	53.2729235	57.2264935	41.850234	9.3937775	57.023531	66.462223	9.526933	18.2483915	57.2163315	52.007638	13.981214	12.792449	7.3617505	2.0339195	0.300123	0.170034	0.1979875	39.151191	20.347256	3.8897705	0	18.8052515	19.0643025	11.3121875	25.8809355	20.4540045	22.8764855	35.1982775	6.8300475
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	56.9873865	41.005795	11.5396635	44.4721	26.2597285	18.774192	69.2539595	23.393688	13.3016055	22.9445405	117.1531615	61.064608	18.6122315	59.204516	57.619434	14.8616915	69.9215435	18.292162	39.1297545	10.4666415	41.1450825	24.1552955	8.2405815	72.8258925	31.742768	12.761476	165.481509	204.579571	68.3941615	9.0734365	61.6169685	64.577574	37.4510045	78.5974985	34.377129	61.4310825	113.1573875	14.620857
ENSG00000000457.9	6.6503885	2.8123535	1.450069	7.8151655	8.4704895	13.4206575	12.3844135	9.87434	8.889065	2.562155	12.2980455	8.6797755	6.749498	2.7741245	2.689311	2.208126	3.746055	2.867214	4.2471645	4.353191	3.7576815	1.214842	2.7866235	9.189371	5.5858475	7.3773115	10.216632	9.4045835	14.5485935	4.2420095	6.814822	5.230448	6.0943855	6.2705125	9.6653125	8.8413885	8.4107035	8.6966605
ENSG00000000460.12	22.0479475	10.6890495	6.3029565	3.91111	6.448367	5.2992535	31.406087	20.367182	23.48387	25.0814365	67.7635135	31.415359	43.6495025	7.4124465	4.5177815	6.4233245	7.338416	10.4288645	7.8020585	11.3481625	3.152163	1.183785	1.961797	53.996335	41.8891425	25.0995545	25.689459	8.969931	18.200414	3.177604	9.7614425	5.649848	4.2122025	7.3861	7.0319065	5.3210745	4.9609195	5.160496
ENSG00000000938.8	0	0	0	0	0	222.3903135	137.37975	283.425935	487.2512995	0.9697395	0	0.0460245	0	0	0	0	0	0.1201055	0	0.093528	0	0	0	0	0	0	0	0	0	1488.526743	0.091275	0	0	0	0	0	0	0
ENSG00000000971.11	63.5823965	2.9549015	2.276804	27.349923	21.5144475	0	0	0	0	0	313.187934	78.7041015	94.1038715	0	0	0	95.2773495	19.0406095	17.280104	29.4866615	10.027503	3.64725	5.063882	93.25834	32.624918	64.822178	0	0	0	0	4.7204335	1.008743	2.8620525	87.097534	40.8566775	4.3798755	6.889997	2.93926
ENSG00000001036.9	47.9827235	25.588931	14.553525	54.5076185	39.5297785	3.278617	18.3637305	15.052661	5.9738625	20.3133435	64.5057695	52.9597715	16.5172155	68.9256025	75.7367075	15.933402	57.057109	28.2073755	42.0580515	14.092107	42.303051	36.688432	13.7808875	60.856464	42.507257	18.1434155	49.3643775	65.778879	22.2348235	28.357128	11.116727	13.3133475	9.804324	110.700771	32.9963645	44.4466035	60.630453	20.369369
ENSG00000001084.6	188.7730385	113.305509	55.856431	75.7083845	11.3902625	7.266917	14.8777635	6.4231435	5.96576	13.694709	32.496998	17.2934675	10.9112105	28.623019	22.793383	18.2291535	5.9024255	6.2965205	10.1447895	10.2448315	8.5655395	4.4117525	10.72388	10.617283	6.0561325	5.216839	29.273745	29.316906	20.4344985	9.242948	99.9335725	92.4230075	116.354944	16.8390565	11.0358245	8.3130995	11.2660315	6.522905
ENSG00000001167.10	13.304214	8.2134135	4.143577	11.072872	8.171862	17.2220305	13.839164	22.757747	8.150685	17.7462305	16.8022255	20.6635885	19.9605015	13.60255	11.2694415	10.765598	13.9848435	14.618853	16.220282	11.763729	13.1686285	5.2151525	6.381456	21.650315	28.736785	17.1963225	13.5986625	8.5465245	11.4660825	13.278478	18.375119	10.814164	19.6186665	9.4218045	25.818569	11.342835	10.5627735	9.961129
