disease	event	number	loc	state	Year	Month	Day
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	6	1
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	6	1
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1894	6	8
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	6	15
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	6	15
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	4	WORCESTER	MA	1894	6	29
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	6	6
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	6	6
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	1	WORCESTER	MA	1894	7	13
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	7	WORCESTER	MA	1894	7	20
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	7	27
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	7	27
SCARLET FEVER	DEATHS	1	WORCESTER	MA	1894	7	27
DIPHTHERIA	DEATHS	2	WORCESTER	MA	1894	7	27
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	3	WORCESTER	MA	1894	8	10
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	8	10
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	8	10
WHOOPING COUGH [PERTUSSIS]	DEATHS	2	WORCESTER	MA	1894	8	10
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	5	WORCESTER	MA	1894	8	17
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	2	WORCESTER	MA	1894	8	17
DIPHTHERIA	DEATHS	1	WORCESTER	MA	1894	8	17
TUBERCULOSIS [PHTHISIS PULMONALIS]	DEATHS	2	WORCESTER	MA	1894	8	24
TYPHOID FEVER [ENTERIC FEVER]	DEATHS	1	WORCESTER	MA	1894	8	24
