	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
A1BG	5.4075	2.788	3.654	3.275	2.7775	3.588	2.45666666666667	6.12666666666667	5.18333333333333	4.95	5.47333333333333	3.50666666666667	5.82	7.55	8.035	6.605	4.845	2.64	2.01
A1BG-AS1	1.72416666666667	1.598	1.92	1.08625	1.24	2.116	2.19333333333333	3.27666666666667	2.82333333333333	1.84333333333333	1.71666666666667	3.26333333333333	1.93666666666667	2.945	3.225	0.865	0.935	1.465	1.84
A1CF	0.0504166666666667	0	0.006	0	0.0875	0	0	0	0	0.00666666666666667	0	0	0	0.005	0	0	0	0	0
A2M	708.069583333333	1059.56	891.964	888.7275	970.68	894.104	550.653333333333	773.066666666667	842.746666666667	796.176666666667	756.04	680.666666666667	322.203333333333	768.065	661.85	338.81	424.475	525.625	257.855
A2M-AS1	1.38125	1.796	1.002	1.655	0.9625	0.784	0.323333333333333	0.353333333333333	0.133333333333333	0.0566666666666667	0	0.113333333333333	0.14	0.145	0.115	0.07	0	0.15	0.155
A2ML1	0.0275	0.046	0.01	0.03625	0.0475	0.038	0.0366666666666667	0	0	0.0166666666666667	0.01	0	0.0266666666666667	0.03	0.02	0.02	0.065	0.015	0.035
A2MP1	0.0329166666666667	0	0.072	0.07125	0.12	0.044	0.06	0	0	0	0	0	0	0	0	0	0	0	0.06
A3GALT2	0.0229166666666667	0	0.064	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0
A4GALT	3.85416666666667	1.058	4.218	9.76625	7.9475	7.07	6.18666666666667	0.38	1.09666666666667	7.89	5.78	11.25	6.46	0.37	0.205	0.785	0.085	0.29	0.53
A4GNT	0.12	0.14	0.03	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
