sample	country	region	hdbcluster	reads	collection_year
Ghana.387_t1	Ghana	West Africa	6	Ghana.387	2013
Ghana.407_t1	Ghana	West Africa	5	Ghana.407	2013
Guinea.91_t1	Guinea	West Africa	5	Guinea.91	2011
Malawi.134_t1	Malawi	East Africa	5	Malawi.134	2011
DRC.081_t2	DRC	Central Africa	5	DRC.081	2013
DRC.081_t2	DRC	Central Africa	5	DRC.083	2013
Ghana.427_t1	Ghana	West Africa	5	Ghana.427	2013
Gambia.43_t3	Gambia	West Africa	5	Gambia.43	2008
Gambia.43_t3	Gambia	West Africa	5	Gambia.57	2008
Gambia.43_t3	Mali	West Africa	5	Mali.12	2010
Guinea.19_t2	Guinea	West Africa	5	Guinea.19	2011
Guinea.19_t2	Guinea	West Africa	5	Guinea.51	2011
Malawi.146_t2	Malawi	East Africa	5	Malawi.146	2011
Malawi.146_t2	Malawi	East Africa	5	Malawi.180	2011
Malawi.167_t1	Malawi	East Africa	5	Malawi.167	2011
Ghana.388_t1	Ghana	West Africa	5	Ghana.388	2013
Senegal.078_t1	Senegal	West Africa	5	Senegal.078	2009
Malawi.102_t1	Malawi	East Africa	5	Malawi.102	2011
Senegal.062_t1	Senegal	West Africa	5	Senegal.062	2011
DRC.104_t2	DRC	Central Africa	5	DRC.104	2013
DRC.104_t2	Ghana	West Africa	5	Ghana.080	2010
EF614228_t1	EF614228	Lab	5	EF614228	"NA"
Ghana.064_t2	Ghana	West Africa	5	Ghana.064	2009
Ghana.064_t2	Guinea	West Africa	5	Guinea.60	2011
Cambodia.004_t3	Cambodia	South East Asia	5	Cambodia.004	2011
Cambodia.004_t3	Cambodia	South East Asia	5	Cambodia.376	2011
Cambodia.004_t3	Cambodia	South East Asia	5	Cambodia.394	2011
Gambia.40_t2	Gambia	West Africa	5	Gambia.40	2008
Gambia.40_t2	Malawi	East Africa	5	Malawi.044	2011
Malawi.002_t1	Malawi	East Africa	5	Malawi.002	2011
DRC.013_t1	DRC	Central Africa	5	DRC.013	2013
Ghana.457_t1	Ghana	West Africa	5	Ghana.457	2013
Guinea.05_t1	Guinea	West Africa	5	Guinea.05	2011
Ghana.295_t1	Ghana	West Africa	5	Ghana.295	2012
Ghana.357_t1	Ghana	West Africa	5	Ghana.357	2012
Gambia.20_t1	Gambia	West Africa	5	Gambia.20	2008
Gambia.37_t3	Gambia	West Africa	5	Gambia.37	2008
Gambia.37_t3	Malawi	East Africa	5	Malawi.066	2011
Gambia.37_t3	Malawi	East Africa	5	Malawi.093	2011
DRC.101_t1	DRC	Central Africa	5	DRC.101	2013
Ghana.057_t2	Ghana	West Africa	5	Ghana.057	2009
Ghana.057_t2	Ghana	West Africa	5	Ghana.370	2012
Ghana.205_t1	Ghana	West Africa	5	Ghana.205	2011
Malawi.008_t1	Malawi	East Africa	5	Malawi.008	2011
Ghana.359_t1	Ghana	West Africa	5	Ghana.359	2012
Malawi.217_t1	Malawi	East Africa	5	Malawi.217	2011
Ghana.147_t1	Ghana	West Africa	5	Ghana.147	2010
Mali.06_t1	Mali	West Africa	5	Mali.06	2002
Gambia.21_t6	Gambia	West Africa	5	Gambia.21	2008
Gambia.21_t6	Ghana	West Africa	5	Ghana.155	2010
Gambia.21_t6	Ghana	West Africa	5	Ghana.246	2011
Gambia.21_t6	Ghana	West Africa	5	Ghana.271	2011
Gambia.21_t6	Ghana	West Africa	5	Ghana.393	2013
Gambia.21_t6	Guinea	West Africa	5	Guinea.92	2011
Guinea.27_t1	Guinea	West Africa	5	Guinea.27	2011
Gambia.22_t1	Gambia	West Africa	5	Gambia.22	2008
Malawi.071_t3	Malawi	East Africa	5	Malawi.071	2011
Malawi.071_t3	Malawi	East Africa	5	Malawi.204	2011
Malawi.071_t3	Thailand	South East Asia	5	Thailand.205	2008
Ghana.489_t1	Ghana	West Africa	5	Ghana.489	2011
Malawi.110_t1	Malawi	East Africa	5	Malawi.110	2011
Ghana.120_t4	Ghana	West Africa	5	Ghana.120	2010
Ghana.120_t4	Ghana	West Africa	5	Ghana.170	2010
Ghana.120_t4	Ghana	West Africa	5	Ghana.395	2013
Ghana.120_t4	Ghana	West Africa	5	Ghana.400	2013
Senegal.090_t1	Senegal	West Africa	5	Senegal.090	2009
Ghana.308_t1	Ghana	West Africa	5	Ghana.308	2012
Cambodia.073_t2	Cambodia	South East Asia	5	Cambodia.073	2009
Cambodia.073_t2	Thailand	South East Asia	5	Thailand.040	2011
